datatype	polymer	mean	std
hbnadmcmc	polyala-gly	2.33	0.33
hbnadmcmc	polyala_constrained	0.41	0.57
hbnadmcmc	polyalanine_default	0.0	0.0
hbnadmcmc	polyasparagine	0.0	0.0
hbnadmcmc	polygly_constrained	2.78	1.24
hbnadmcmc	polyglycine	1.88	0.33
hbnadmcmc	polyisoleucine	0.0	0.0
hbnadmcmc	polythreonine	0.0	0.0
hbnadmcmc	polyvaline	0.0	0.0
hbnadmcmc	polyisoleucine_turing	0.0	0.0
hbnadmcmc	polyisoleucine_78	0.0	0.0
hbnadmcmc	polyisoleucine_server191	0.0	0.0
hbnadmcsc	polyala-gly	0.02	0.02
hbnadmcsc	polyala_constrained	0.17	0.08
hbnadmcsc	polyalanine_default	0.04	0.01
hbnadmcsc	polyasparagine	0.45	0.31
hbnadmcsc	polygly_constrained	0.0	0.0
hbnadmcsc	polyglycine	0.0	0.0
hbnadmcsc	polyisoleucine	0.0	0.0
hbnadmcsc	polythreonine	0.0	0.0
hbnadmcsc	polyvaline	0.0	0.0
hbnadmcsc	polyisoleucine_turing	0.0	0.0
hbnadmcsc	polyisoleucine_78	0.0	0.0
hbnadmcsc	polyisoleucine_server191	0.0	0.0
hbnadscsc	polyala-gly	0.0	0.0
hbnadscsc	polyala_constrained	0.0	0.0
hbnadscsc	polyalanine_default	0.0	0.0
hbnadscsc	polyasparagine	2.45	0.16
hbnadscsc	polygly_constrained	0.0	0.0
hbnadscsc	polyglycine	0.0	0.0
hbnadscsc	polyisoleucine	0.0	0.0
hbnadscsc	polythreonine	2.3	0.19
hbnadscsc	polyvaline	0.0	0.0
hbnadscsc	polyisoleucine_turing	0.0	0.0
hbnadscsc	polyisoleucine_78	0.0	0.0
hbnadscsc	polyisoleucine_server191	0.0	0.0
hbnadp1mcmcstoch	polyala-gly	0.98	0.14
hbnadp1mcmcstoch	polyala_constrained	0.13	0.18
hbnadp1mcmcstoch	polyalanine_default	0.0	0.0
hbnadp1mcmcstoch	polyasparagine	0.0	0.0
hbnadp1mcmcstoch	polygly_constrained	1.79	0.6
hbnadp1mcmcstoch	polyglycine	0.9	0.07
hbnadp1mcmcstoch	polyisoleucine	0.0	0.0
hbnadp1mcmcstoch	polythreonine	0.0	0.0
hbnadp1mcmcstoch	polyvaline	0.0	0.0
hbnadp1mcmcstoch	polyisoleucine_turing	0.0	0.0
hbnadp1mcmcstoch	polyisoleucine_78	0.0	0.0
hbnadp1mcmcstoch	polyisoleucine_server191	0.0	0.0
hbnadp1mcscstoch	polyala-gly	0.02	0.02
hbnadp1mcscstoch	polyala_constrained	0.17	0.08
hbnadp1mcscstoch	polyalanine_default	0.04	0.01
hbnadp1mcscstoch	polyasparagine	0.41	0.31
hbnadp1mcscstoch	polygly_constrained	0.0	0.0
hbnadp1mcscstoch	polyglycine	0.0	0.0
hbnadp1mcscstoch	polyisoleucine	0.0	0.0
hbnadp1mcscstoch	polythreonine	0.0	0.0
hbnadp1mcscstoch	polyvaline	0.0	0.0
hbnadp1mcscstoch	polyisoleucine_turing	0.0	0.0
hbnadp1mcscstoch	polyisoleucine_78	0.0	0.0
hbnadp1mcscstoch	polyisoleucine_server191	0.0	0.0
hbnadp1scscstoch	polyala-gly	0.0	0.0
hbnadp1scscstoch	polyala_constrained	0.0	0.0
hbnadp1scscstoch	polyalanine_default	0.0	0.0
hbnadp1scscstoch	polyasparagine	1.72	0.19
hbnadp1scscstoch	polygly_constrained	0.0	0.0
hbnadp1scscstoch	polyglycine	0.0	0.0
hbnadp1scscstoch	polyisoleucine	0.0	0.0
hbnadp1scscstoch	polythreonine	0.81	0.32
hbnadp1scscstoch	polyvaline	0.0	0.0
hbnadp1scscstoch	polyisoleucine_turing	0.0	0.0
hbnadp1scscstoch	polyisoleucine_78	0.0	0.0
hbnadp1scscstoch	polyisoleucine_server191	0.0	0.0
hbnadp1mcmcstab	polyala-gly	1.34	0.46
hbnadp1mcmcstab	polyala_constrained	0.28	0.39
hbnadp1mcmcstab	polyalanine_default	0.0	0.0
hbnadp1mcmcstab	polyasparagine	0.0	0.0
hbnadp1mcmcstab	polygly_constrained	0.98	0.75
hbnadp1mcmcstab	polyglycine	0.99	0.35
hbnadp1mcmcstab	polyisoleucine	0.0	0.0
hbnadp1mcmcstab	polythreonine	0.0	0.0
hbnadp1mcmcstab	polyvaline	0.0	0.0
hbnadp1mcmcstab	polyisoleucine_turing	0.0	0.0
hbnadp1mcmcstab	polyisoleucine_78	0.0	0.0
hbnadp1mcmcstab	polyisoleucine_server191	0.0	0.0
hbnadp1mcscstab	polyala-gly	0.0	0.0
hbnadp1mcscstab	polyala_constrained	0.0	0.0
hbnadp1mcscstab	polyalanine_default	0.0	0.0
hbnadp1mcscstab	polyasparagine	0.05	0.0
hbnadp1mcscstab	polygly_constrained	0.0	0.0
hbnadp1mcscstab	polyglycine	0.0	0.0
hbnadp1mcscstab	polyisoleucine	0.0	0.0
hbnadp1mcscstab	polythreonine	0.0	0.0
hbnadp1mcscstab	polyvaline	0.0	0.0
hbnadp1mcscstab	polyisoleucine_turing	0.0	0.0
hbnadp1mcscstab	polyisoleucine_78	0.0	0.0
hbnadp1mcscstab	polyisoleucine_server191	0.0	0.0
hbnadp1scscstab	polyala-gly	0.0	0.0
hbnadp1scscstab	polyala_constrained	0.0	0.0
hbnadp1scscstab	polyalanine_default	0.0	0.0
hbnadp1scscstab	polyasparagine	0.73	0.09
hbnadp1scscstab	polygly_constrained	0.0	0.0
hbnadp1scscstab	polyglycine	0.0	0.0
hbnadp1scscstab	polyisoleucine	0.0	0.0
hbnadp1scscstab	polythreonine	1.49	0.5
hbnadp1scscstab	polyvaline	0.0	0.0
hbnadp1scscstab	polyisoleucine_turing	0.0	0.0
hbnadp1scscstab	polyisoleucine_78	0.0	0.0
hbnadp1scscstab	polyisoleucine_server191	0.0	0.0
hbadjmcmc	polyala-gly	3.92	0.6
hbadjmcmc	polyala_constrained	6.28	0.3
hbadjmcmc	polyalanine_default	6.25	0.38
hbadjmcmc	polyasparagine	5.62	0.46
hbadjmcmc	polygly_constrained	3.13	0.45
hbadjmcmc	polyglycine	3.22	0.1
hbadjmcmc	polyisoleucine	7.01	0.77
hbadjmcmc	polythreonine	3.86	1.59
hbadjmcmc	polyvaline	7.21	1.95
hbadjmcmc	polyisoleucine_turing	6.18	0.0
hbadjmcmc	polyisoleucine_78	6.16	0.0
hbadjmcmc	polyisoleucine_server191	7.26	0.0
hbadjmcsc	polyala-gly	0.0	0.0
hbadjmcsc	polyala_constrained	0.01	0.01
hbadjmcsc	polyalanine_default	0.0	0.0
hbadjmcsc	polyasparagine	2.26	0.85
hbadjmcsc	polygly_constrained	0.0	0.0
hbadjmcsc	polyglycine	0.0	0.0
hbadjmcsc	polyisoleucine	0.5	0.2
hbadjmcsc	polythreonine	3.52	0.68
hbadjmcsc	polyvaline	0.48	0.21
hbadjmcsc	polyisoleucine_turing	0.59	0.0
hbadjmcsc	polyisoleucine_78	0.64	0.0
hbadjmcsc	polyisoleucine_server191	0.3	0.0
hbadjscsc	polyala-gly	0.0	0.0
hbadjscsc	polyala_constrained	0.0	0.0
hbadjscsc	polyalanine_default	0.0	0.0
hbadjscsc	polyasparagine	1.84	0.85
hbadjscsc	polygly_constrained	0.0	0.0
hbadjscsc	polyglycine	0.0	0.0
hbadjscsc	polyisoleucine	0.0	0.0
hbadjscsc	polythreonine	0.71	0.47
hbadjscsc	polyvaline	0.0	0.0
hbadjscsc	polyisoleucine_turing	0.0	0.0
hbadjscsc	polyisoleucine_78	0.0	0.0
hbadjscsc	polyisoleucine_server191	0.0	0.0
hbadjp1mcmcstoch	polyala-gly	0.87	0.43
hbadjp1mcmcstoch	polyala_constrained	1.55	0.56
hbadjp1mcmcstoch	polyalanine_default	1.66	0.46
hbadjp1mcmcstoch	polyasparagine	2.73	0.97
hbadjp1mcmcstoch	polygly_constrained	0.66	0.05
hbadjp1mcmcstoch	polyglycine	0.63	0.27
hbadjp1mcmcstoch	polyisoleucine	1.99	0.45
hbadjp1mcmcstoch	polythreonine	1.66	0.46
hbadjp1mcmcstoch	polyvaline	2.21	0.77
hbadjp1mcmcstoch	polyisoleucine_turing	2.39	0.0
hbadjp1mcmcstoch	polyisoleucine_78	1.94	0.0
hbadjp1mcmcstoch	polyisoleucine_server191	0.85	0.0
hbadjp1mcscstoch	polyala-gly	0.0	0.0
hbadjp1mcscstoch	polyala_constrained	0.01	0.01
hbadjp1mcscstoch	polyalanine_default	0.0	0.0
hbadjp1mcscstoch	polyasparagine	1.32	0.41
hbadjp1mcscstoch	polygly_constrained	0.0	0.0
hbadjp1mcscstoch	polyglycine	0.0	0.0
hbadjp1mcscstoch	polyisoleucine	0.5	0.2
hbadjp1mcscstoch	polythreonine	0.69	0.46
hbadjp1mcscstoch	polyvaline	0.48	0.21
hbadjp1mcscstoch	polyisoleucine_turing	0.59	0.0
hbadjp1mcscstoch	polyisoleucine_78	0.64	0.0
hbadjp1mcscstoch	polyisoleucine_server191	0.3	0.0
hbadjp1scscstoch	polyala-gly	0.0	0.0
hbadjp1scscstoch	polyala_constrained	0.0	0.0
hbadjp1scscstoch	polyalanine_default	0.0	0.0
hbadjp1scscstoch	polyasparagine	1.55	0.73
hbadjp1scscstoch	polygly_constrained	0.0	0.0
hbadjp1scscstoch	polyglycine	0.0	0.0
hbadjp1scscstoch	polyisoleucine	0.0	0.0
hbadjp1scscstoch	polythreonine	0.11	0.07
hbadjp1scscstoch	polyvaline	0.0	0.0
hbadjp1scscstoch	polyisoleucine_turing	0.0	0.0
hbadjp1scscstoch	polyisoleucine_78	0.0	0.0
hbadjp1scscstoch	polyisoleucine_server191	0.0	0.0
hbadjp1mcmcstab	polyala-gly	3.05	0.53
hbadjp1mcmcstab	polyala_constrained	4.73	0.83
hbadjp1mcmcstab	polyalanine_default	4.59	0.14
hbadjp1mcmcstab	polyasparagine	2.89	0.53
hbadjp1mcmcstab	polygly_constrained	2.47	0.42
hbadjp1mcmcstab	polyglycine	2.59	0.24
hbadjp1mcmcstab	polyisoleucine	5.02	1.22
hbadjp1mcmcstab	polythreonine	2.2	1.57
hbadjp1mcmcstab	polyvaline	5.0	1.24
hbadjp1mcmcstab	polyisoleucine_turing	3.8	0.0
hbadjp1mcmcstab	polyisoleucine_78	4.23	0.0
hbadjp1mcmcstab	polyisoleucine_server191	6.41	0.0
hbadjp1mcscstab	polyala-gly	0.0	0.0
hbadjp1mcscstab	polyala_constrained	0.0	0.0
hbadjp1mcscstab	polyalanine_default	0.0	0.0
hbadjp1mcscstab	polyasparagine	0.94	0.58
hbadjp1mcscstab	polygly_constrained	0.0	0.0
hbadjp1mcscstab	polyglycine	0.0	0.0
hbadjp1mcscstab	polyisoleucine	0.0	0.0
hbadjp1mcscstab	polythreonine	2.83	0.79
hbadjp1mcscstab	polyvaline	0.0	0.0
hbadjp1mcscstab	polyisoleucine_turing	0.0	0.0
hbadjp1mcscstab	polyisoleucine_78	0.0	0.0
hbadjp1mcscstab	polyisoleucine_server191	0.0	0.0
hbadjp1scscstab	polyala-gly	0.0	0.0
hbadjp1scscstab	polyala_constrained	0.0	0.0
hbadjp1scscstab	polyalanine_default	0.0	0.0
hbadjp1scscstab	polyasparagine	0.3	0.35
hbadjp1scscstab	polygly_constrained	0.0	0.0
hbadjp1scscstab	polyglycine	0.0	0.0
hbadjp1scscstab	polyisoleucine	0.0	0.0
hbadjp1scscstab	polythreonine	0.59	0.42
hbadjp1scscstab	polyvaline	0.0	0.0
hbadjp1scscstab	polyisoleucine_turing	0.0	0.0
hbadjp1scscstab	polyisoleucine_78	0.0	0.0
hbadjp1scscstab	polyisoleucine_server191	0.0	0.0
hballmcmc	polyala-gly	6.25	0.79
hballmcmc	polyala_constrained	6.69	0.86
hballmcmc	polyalanine_default	6.25	0.38
hballmcmc	polyasparagine	5.62	0.46
hballmcmc	polygly_constrained	5.91	0.81
hballmcmc	polyglycine	5.1	0.23
hballmcmc	polyisoleucine	7.01	0.77
hballmcmc	polythreonine	3.86	1.59
hballmcmc	polyvaline	7.21	1.95
hballmcmc	polyisoleucine_turing	6.18	0.0
hballmcmc	polyisoleucine_78	6.16	0.0
hballmcmc	polyisoleucine_server191	7.26	0.0
hballmcsc	polyala-gly	0.02	0.02
hballmcsc	polyala_constrained	0.17	0.08
hballmcsc	polyalanine_default	0.04	0.01
hballmcsc	polyasparagine	2.71	0.86
hballmcsc	polygly_constrained	0.0	0.0
hballmcsc	polyglycine	0.0	0.0
hballmcsc	polyisoleucine	0.5	0.2
hballmcsc	polythreonine	3.52	0.68
hballmcsc	polyvaline	0.48	0.21
hballmcsc	polyisoleucine_turing	0.59	0.0
hballmcsc	polyisoleucine_78	0.64	0.0
hballmcsc	polyisoleucine_server191	0.3	0.0
hballscsc	polyala-gly	0.0	0.0
hballscsc	polyala_constrained	0.0	0.0
hballscsc	polyalanine_default	0.0	0.0
hballscsc	polyasparagine	4.29	0.72
hballscsc	polygly_constrained	0.0	0.0
hballscsc	polyglycine	0.0	0.0
hballscsc	polyisoleucine	0.0	0.0
hballscsc	polythreonine	3.0	0.33
hballscsc	polyvaline	0.0	0.0
hballscsc	polyisoleucine_turing	0.0	0.0
hballscsc	polyisoleucine_78	0.0	0.0
hballscsc	polyisoleucine_server191	0.0	0.0
hballp1mcmcstoch	polyala-gly	1.85	0.49
hballp1mcmcstoch	polyala_constrained	1.68	0.48
hballp1mcmcstoch	polyalanine_default	1.66	0.46
hballp1mcmcstoch	polyasparagine	2.73	0.97
hballp1mcmcstoch	polygly_constrained	2.46	0.55
hballp1mcmcstoch	polyglycine	1.53	0.34
hballp1mcmcstoch	polyisoleucine	1.99	0.45
hballp1mcmcstoch	polythreonine	1.66	0.46
hballp1mcmcstoch	polyvaline	2.21	0.77
hballp1mcmcstoch	polyisoleucine_turing	2.39	0.0
hballp1mcmcstoch	polyisoleucine_78	1.94	0.0
hballp1mcmcstoch	polyisoleucine_server191	0.85	0.0
hballp1mcscstoch	polyala-gly	0.02	0.02
hballp1mcscstoch	polyala_constrained	0.17	0.08
hballp1mcscstoch	polyalanine_default	0.04	0.01
hballp1mcscstoch	polyasparagine	1.72	0.61
hballp1mcscstoch	polygly_constrained	0.0	0.0
hballp1mcscstoch	polyglycine	0.0	0.0
hballp1mcscstoch	polyisoleucine	0.5	0.2
hballp1mcscstoch	polythreonine	0.69	0.46
hballp1mcscstoch	polyvaline	0.48	0.21
hballp1mcscstoch	polyisoleucine_turing	0.59	0.0
hballp1mcscstoch	polyisoleucine_78	0.64	0.0
hballp1mcscstoch	polyisoleucine_server191	0.3	0.0
hballp1scscstoch	polyala-gly	0.0	0.0
hballp1scscstoch	polyala_constrained	0.0	0.0
hballp1scscstoch	polyalanine_default	0.0	0.0
hballp1scscstoch	polyasparagine	3.27	0.56
hballp1scscstoch	polygly_constrained	0.0	0.0
hballp1scscstoch	polyglycine	0.0	0.0
hballp1scscstoch	polyisoleucine	0.0	0.0
hballp1scscstoch	polythreonine	0.92	0.39
hballp1scscstoch	polyvaline	0.0	0.0
hballp1scscstoch	polyisoleucine_turing	0.0	0.0
hballp1scscstoch	polyisoleucine_78	0.0	0.0
hballp1scscstoch	polyisoleucine_server191	0.0	0.0
hballp1mcmcstab	polyala-gly	4.4	0.99
hballp1mcmcstab	polyala_constrained	5.01	1.14
hballp1mcmcstab	polyalanine_default	4.59	0.14
hballp1mcmcstab	polyasparagine	2.89	0.53
hballp1mcmcstab	polygly_constrained	3.45	0.33
hballp1mcmcstab	polyglycine	3.58	0.48
hballp1mcmcstab	polyisoleucine	5.02	1.22
hballp1mcmcstab	polythreonine	2.2	1.57
hballp1mcmcstab	polyvaline	5.0	1.24
hballp1mcmcstab	polyisoleucine_turing	3.8	0.0
hballp1mcmcstab	polyisoleucine_78	4.23	0.0
hballp1mcmcstab	polyisoleucine_server191	6.41	0.0
hballp1mcscstab	polyala-gly	0.0	0.0
hballp1mcscstab	polyala_constrained	0.0	0.0
hballp1mcscstab	polyalanine_default	0.0	0.0
hballp1mcscstab	polyasparagine	0.99	0.58
hballp1mcscstab	polygly_constrained	0.0	0.0
hballp1mcscstab	polyglycine	0.0	0.0
hballp1mcscstab	polyisoleucine	0.0	0.0
hballp1mcscstab	polythreonine	2.83	0.79
hballp1mcscstab	polyvaline	0.0	0.0
hballp1mcscstab	polyisoleucine_turing	0.0	0.0
hballp1mcscstab	polyisoleucine_78	0.0	0.0
hballp1mcscstab	polyisoleucine_server191	0.0	0.0
hballp1scscstab	polyala-gly	0.0	0.0
hballp1scscstab	polyala_constrained	0.0	0.0
hballp1scscstab	polyalanine_default	0.0	0.0
hballp1scscstab	polyasparagine	1.03	0.32
hballp1scscstab	polygly_constrained	0.0	0.0
hballp1scscstab	polyglycine	0.0	0.0
hballp1scscstab	polyisoleucine	0.0	0.0
hballp1scscstab	polythreonine	2.08	0.45
hballp1scscstab	polyvaline	0.0	0.0
hballp1scscstab	polyisoleucine_turing	0.0	0.0
hballp1scscstab	polyisoleucine_78	0.0	0.0
hballp1scscstab	polyisoleucine_server191	0.0	0.0
